,Unnamed: 0,Unnamed: 0.1,Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
186,186,186,3-April-2020,311.0,311.0,281.6,286.5,292.3443625694252,1967226,33287,575107431.0,650223,33.05,29.4,-24.5
187,187,187,1-April-2020,320.0,323.45,308.3,311.45,313.65725799953043,2295791,20640,720091510.0,612779,26.69,15.15,-8.55
188,188,188,31-March-2020,325.0,334.9,316.05,324.5,325.96794388407903,2116476,26447,689903330.0,628457,29.69,18.85,-0.5
189,189,189,30-March-2020,329.95,333.7,311.5,314.0,323.7849259848351,1782405,23929,577115871.0,642335,36.04,22.2,-15.95
190,190,190,27-March-2020,355.0,359.5,326.5,340.1,341.94169218144464,3593669,53617,1228825259.0,1009027,28.08,33.0,-14.9
191,191,191,26-March-2020,325.0,364.7,314.75,332.0,340.33649641770563,2959137,40704,1007102319.0,556418,18.8,49.95,7.0
192,192,192,25-March-2020,287.0,330.35,281.55,317.15,308.4157153867406,2475612,33247,763517646.0,355607,14.36,48.8,30.15
193,193,193,24-March-2020,298.0,306.4,269.0,296.6,288.28364733739534,2260268,31585,651598303.0,652588,28.87,37.4,-1.4
194,194,194,23-March-2020,311.15,325.0,280.0,283.9,293.52877092982686,2485269,43578,729497955.0,1199588,48.27,45.0,-27.25
195,195,195,20-March-2020,332.0,359.85,323.1,345.7,340.57894794886454,2629568,38129,895575503.0,488192,18.57,36.75,13.7
196,196,196,19-March-2020,337.7,369.5,323.0,339.15,341.1457931939668,2328346,35483,794305443.0,365559,15.7,46.5,1.45
197,197,197,18-March-2020,368.8,375.3,342.1,356.0,358.6546822124822,2274224,33455,815661086.0,499875,21.98,33.2,-12.8
198,198,198,17-March-2020,405.0,410.05,364.05,366.85,385.4494871576889,2152611,31574,829722806.0,952547,44.25,46.0,-38.15
199,199,199,16-March-2020,429.8,429.8,397.75,402.9,409.8650528222741,1441816,23368,590949991.0,601618,41.73,32.05,-26.9
200,200,200,13-March-2020,397.0,464.55,395.35,447.45,430.5422339830216,2121171,26823,913253701.0,665672,31.38,69.2,50.45
201,201,201,12-March-2020,440.0,445.75,416.1,425.0,433.32763473665045,1812610,24024,785454004.0,931362,51.38,29.65,-15.0
202,202,202,11-March-2020,456.0,471.65,450.1,465.4,464.06901713437287,1069546,10288,496343161.0,363783,34.01,21.55,9.4
